Year,Function,Opponent,p_value,Symbol
2017,F27,SSA,0.46470209994046485,=
2017,F27,HHO,0.009023438818080326,+
2017,F27,MPA,0.07580017458236125,=
2017,F27,AOA,0.009023438818080326,+
2017,F28,SBOA,0.9168149485280885,=
2017,F28,WOA,0.009023438818080326,+
2017,F28,GWO,0.009023438818080326,+
2017,F28,SCA,0.009023438818080326,+
2017,F28,SSA,0.04720176769014221,+
2017,F28,HHO,0.009023438818080326,+
2017,F28,MPA,0.009023438818080326,+
2017,F28,AOA,0.009023438818080326,+
2017,F29,SBOA,0.9168149485280885,=
2017,F29,WOA,0.009023438818080326,+
2017,F29,GWO,0.009023438818080326,+
2017,F29,SCA,0.009023438818080326,+
2017,F29,SSA,0.009023438818080326,+
2017,F29,HHO,0.009023438818080326,+
2017,F29,MPA,0.009023438818080326,+
2017,F29,AOA,0.009023438818080326,+
2017,F3,SBOA,0.04720176769014221,-
2017,F3,WOA,0.009023438818080326,+
2017,F3,GWO,0.009023438818080326,+
2017,F3,SCA,0.009023438818080326,+
2017,F3,SSA,0.11718508719813801,=
2017,F3,HHO,0.009023438818080326,+
2017,F3,MPA,0.009023438818080326,+
2017,F3,AOA,0.009023438818080326,+
2017,F4,SBOA,0.009023438818080326,-
2017,F4,WOA,0.009023438818080326,+
2017,F4,GWO,0.11718508719813801,=
2017,F4,SCA,0.009023438818080326,+
2017,F4,SSA,0.009023438818080326,-
2017,F4,HHO,0.009023438818080326,+
2017,F4,MPA,0.028280122568276955,+
2017,F4,AOA,0.009023438818080326,+
2017,F5,SBOA,0.07580017458236125,=
2017,F5,WOA,0.009023438818080326,+
2017,F5,GWO,0.016293603621028527,+
2017,F5,SCA,0.009023438818080326,+
2017,F5,SSA,0.028280122568276955,+
2017,F5,HHO,0.009023438818080326,+
2017,F5,MPA,0.009023438818080326,+
2017,F5,AOA,0.009023438818080326,+
2017,F6,SBOA,0.009023438818080326,-
2017,F6,WOA,0.009023438818080326,+
2017,F6,GWO,0.009023438818080326,+
2017,F6,SCA,0.009023438818080326,+
2017,F6,SSA,0.04720176769014221,-
2017,F6,HHO,0.009023438818080326,+
2017,F6,MPA,0.009023438818080326,+
2017,F6,AOA,0.009023438818080326,+
2017,F7,SBOA,0.7540225300620748,=
2017,F7,WOA,0.009023438818080326,+
2017,F7,GWO,0.34720763934942456,=
2017,F7,SCA,0.009023438818080326,+
2017,F7,SSA,0.009023438818080326,+
2017,F7,HHO,0.009023438818080326,+
2017,F7,MPA,0.009023438818080326,+
2017,F7,AOA,0.009023438818080326,+
2017,F8,SBOA,0.7540225300620748,=
2017,F8,WOA,0.009023438818080326,+
2017,F8,GWO,0.46470209994046485,=
2017,F8,SCA,0.009023438818080326,+
2017,F8,SSA,0.016293603621028527,+
2017,F8,HHO,0.009023438818080326,+
2017,F8,MPA,0.9168149485280885,=
2017,F8,AOA,0.009023438818080326,+
2017,F9,SBOA,0.46470209994046485,=
