Problem,Description,Algorithm,Run,Best
Truss3Bar,Three-bar Truss Design,HHO,1,264.2444733323977
Truss3Bar,Three-bar Truss Design,HHO,2,266.8412110101993
Truss3Bar,Three-bar Truss Design,HHO,3,265.00023396923797
Truss3Bar,Three-bar Truss Design,HHO,4,263.8915413131255
Truss3Bar,Three-bar Truss Design,HHO,5,264.02581757231013
Truss3Bar,Three-bar Truss Design,MPA,1,263.8915573100007
Truss3Bar,Three-bar Truss Design,MPA,2,263.8918299051576
Truss3Bar,Three-bar Truss Design,MPA,3,263.89189195986995
Truss3Bar,Three-bar Truss Design,MPA,4,263.89158808450657
Truss3Bar,Three-bar Truss Design,MPA,5,263.8921181112262
Truss3Bar,Three-bar Truss Design,AOA,1,263.89539127024625
Truss3Bar,Three-bar Truss Design,AOA,2,263.89608504862633
Truss3Bar,Three-bar Truss Design,AOA,3,263.8936290909698
Truss3Bar,Three-bar Truss Design,AOA,4,263.89346397683045
Truss3Bar,Three-bar Truss Design,AOA,5,263.9024059418781
