Year,Function,Algorithm,Run,Error
2017,F7,ISBOA,2,170.50355925395422
2017,F7,SSA,1,390.5000000001878
2017,F7,ISBOA,1,128.00079859597167
2017,F7,SSA,2,437.0000000000373
2017,F7,GWO,1,182.00613545136878
2017,F7,HHO,1,446.90419601156214
2017,F7,HHO,2,378.5402609937753
2017,F7,GWO,2,204.4515646031275
2017,F8,SBOA,1,3.0178829639236255
2017,F8,WOA,1,36.71185496983162
2017,F8,WOA,2,33.50244613601717
2017,F8,SBOA,2,4.9259007843392055
2017,F8,SCA,1,13.215811449786884
2017,F8,SSA,1,4.382610181865061
2017,F8,SSA,2,7.015414520601325
2017,F8,SCA,2,15.136204748839418
2017,F8,ISBOA,2,0.6344097183254007
2017,F8,ISBOA,1,4.578766767122943
2017,F8,GWO,1,5.49933129699582
2017,F7,MPA,1,363.5582296372272
2017,F8,GWO,2,6.210484916624864
2017,F7,MPA,2,499.9800700869896
2017,F8,HHO,1,6.539137444128528
2017,F8,HHO,2,12.129535796515256
2017,F8,MPA,1,3.356133660201408
2017,F8,MPA,2,2.364996324158369
2017,F7,AOA,1,568.5142526464051
2017,F7,AOA,2,593.6060967355106
2017,F9,SBOA,1,259.2582721164363
2017,F9,WOA,1,4339.437582030854
2017,F9,SBOA,2,-2073.673866375517
2017,F8,AOA,2,38.97419079547262
2017,F8,AOA,1,41.36345574410984
2017,F9,WOA,2,5062.337422451119
2017,F9,ISBOA,2,1038.5458452815255
2017,F9,GWO,1,-1342.5761173938772
2017,F9,ISBOA,1,-288.8852304509146
2017,F9,SSA,1,-2088.0930056732614
2017,F9,GWO,2,-383.34187115650093
2017,F9,SSA,2,-3310.767694099599
2017,F9,SCA,1,3411.518923673986
2017,F9,SCA,2,5299.3490089830175
2020,F1,SBOA,2,1824.7660945796588
2020,F1,SBOA,1,52.65418805928658
2020,F1,WOA,1,453614929.7159933
2020,F1,ISBOA,1,2073.6790059217315
2020,F1,WOA,2,1913951320.8115778
2020,F1,ISBOA,2,9385.644876163835
2020,F1,SCA,2,1290061800.2394612
2020,F1,SCA,1,852110611.815786
2017,F9,HHO,1,1671.4698248650348
2020,F1,SSA,1,7203.851163445873
2020,F1,GWO,1,1418103.8427469071
2020,F1,SSA,2,3194.0366789681516
2020,F1,GWO,2,49006.0566996015
2017,F9,HHO,2,2103.4810836936667
2020,F1,HHO,2,7447396.890880128
2020,F1,HHO,1,7279841.384390944
2017,F9,MPA,1,3097.357193543601
2020,F1,MPA,1,176703.71975890253
2017,F9,MPA,2,1790.4721071387157
2020,F1,MPA,2,186419.35914015022
2020,F1,AOA,1,54938.213385897805
2020,F1,AOA,2,13980.636056067135
2017,F9,AOA,1,-306.32907979547963
2017,F9,AOA,2,-643.3505964004362
2020,F10,SBOA,2,476.52719580895337
2020,F10,WOA,2,1020.8225355838094
2020,F10,SBOA,1,481.918929476567
2020,F10,WOA,1,686.8623639653133
2020,F10,SCA,1,542.1984802986126
2020,F10,SSA,1,608.3573990456825
2020,F10,SCA,2,540.6586060550271
2020,F10,SSA,2,506.8410132605286
2020,F10,ISBOA,1,476.0951861065646
2020,F10,ISBOA,2,482.25618813609753
2020,F10,GWO,1,507.60345171159133
2020,F10,GWO,2,480.3881076796897
2020,F10,HHO,1,495.22366519471916
2020,F10,HHO,2,618.8759696027055
2020,F10,MPA,1,507.6063042580331
2020,F10,MPA,2,480.80559156500385
2020,F2,SBOA,1,-2626.576342695077
2020,F2,SBOA,2,-2225.903386324617
2020,F2,WOA,1,-370.2774355954816
2020,F2,WOA,2,-1243.2429579275686
2020,F2,SSA,1,-2450.2066469231204
2020,F2,ISBOA,2,-3502.5128333264074
2020,F2,SCA,1,-1131.145350528349
2020,F2,SCA,2,-651.0816264115274
2020,F2,ISBOA,1,-2059.1697441944525
2020,F2,SSA,2,-2441.822874146421
2020,F2,GWO,2,-2602.206951597537
2020,F2,GWO,1,-1108.4513360563851
2020,F3,SBOA,2,28.817114606774567
2020,F3,SBOA,1,19.435991565963263
2020,F3,WOA,1,50117.66980411267
2020,F10,AOA,2,535.343415984551
2020,F10,AOA,1,488.56900595889465
2020,F2,HHO,1,-1339.7829416958157
2020,F3,WOA,2,23902.673848915092
2020,F2,HHO,2,-876.2153842918215
2020,F2,MPA,1,-1784.5847052939544
2020,F3,ISBOA,2,55.017161908612934
2020,F3,ISBOA,1,66.84172243040985
2020,F2,MPA,2,-1518.0194941476993
2020,F3,GWO,2,54.26524422455543
2020,F3,GWO,1,39.126706328093064
2020,F2,AOA,1,-2847.3071565283226
2020,F2,AOA,2,-2708.549300960858
2020,F3,SSA,1,30.12568374886189
2020,F3,SCA,1,76176.89689062213
2020,F3,SSA,2,50.36030196450474
2020,F3,SCA,2,26538.21512877772
2020,F3,HHO,2,201.71057421311343
2020,F3,HHO,1,270.58952337652545
2020,F3,MPA,1,90.16364003159003
2020,F3,MPA,2,96.68510603439756
2020,F4,SBOA,1,2.292325264721967
2020,F4,SBOA,2,1.291863234519269
2020,F3,AOA,1,96.06247356700715
2020,F3,AOA,2,75.73058320749374
2020,F4,WOA,1,69.89616787530213
2020,F4,ISBOA,1,0.5493824100360598
2020,F4,ISBOA,2,0.9115670263211086
2020,F4,WOA,2,3318.458708432504
2020,F4,SCA,1,11.566715772544285
2020,F4,SCA,2,11.983683385201402
2020,F4,SSA,1,0.7947491442641876
2020,F4,SSA,2,0.5829612514289693
2020,F4,GWO,1,0.8745434863076298
2020,F4,GWO,2,1.6522916707028799
2020,F4,HHO,2,5.774768667187345
2020,F4,HHO,1,10.136708280512266
2020,F4,MPA,1,3.757066380160495
2020,F4,MPA,2,3.542378683679317
2020,F4,AOA,2,4.630217246434313
2020,F4,AOA,1,6.888749019425632
2020,F5,SBOA,2,7408.261841370422
2020,F5,SBOA,1,5309.703025611581
2020,F5,WOA,1,602601.9368000729
2020,F5,WOA,2,17807.75397713727
2020,F5,SSA,1,25633.836727388167
2020,F5,SCA,2,29352.414778986524
2020,F5,SCA,1,31181.53202618973
2020,F5,SSA,2,222485.43519430986
2020,F5,ISBOA,1,844.6560873077465
2020,F5,ISBOA,2,621.2837970010842
2020,F5,GWO,1,9902.304630669803
2020,F5,GWO,2,21375.49636310694
2020,F5,HHO,1,209027.99866436297
2020,F5,HHO,2,13743.106673901266
2020,F5,MPA,1,131.04895842970518
2020,F5,MPA,2,70.35598404836719
2020,F5,AOA,2,24186.790994138
2020,F5,AOA,1,8047.576490491036
2020,F6,SBOA,1,921.8100350088935
2020,F6,SBOA,2,-56.014417854556996
2020,F6,WOA,1,8518.74965694938
2020,F6,SCA,1,3304.581853732143
2020,F6,WOA,2,3055.2690351128304
2020,F6,ISBOA,1,34.36533135231093
2020,F6,SCA,2,11928.956439060452
2020,F6,SSA,1,561.6934080782739
2020,F6,GWO,1,642.1951692949779
2020,F6,ISBOA,2,-163.76030362778397
2020,F6,GWO,2,1048.6133550868553
2020,F6,SSA,2,5287.106633174462
2020,F6,HHO,1,7503.446973493512
2020,F6,HHO,2,10555.888315494221
2020,F6,MPA,1,-48.427850604940886
2020,F6,MPA,2,-7.779004571587848
2020,F6,AOA,1,5811.672309407023
2020,F6,AOA,2,10921.432951544752
2020,F7,SBOA,2,14875.224561027062
2020,F7,WOA,1,337860.8902065466
2020,F7,SBOA,1,18466.82479014054
2020,F7,WOA,2,38722.81482594637
2020,F7,ISBOA,1,5.366426533609683
2020,F7,SSA,1,16047.552526670108
2020,F7,SCA,1,58028.3760801748
2020,F7,ISBOA,2,8.494507674739452
2020,F7,SCA,2,36227.700018005504
2020,F7,GWO,1,28563.8574485047
2020,F7,SSA,2,17299.324477542214
2020,F7,GWO,2,18249.48101066031
2020,F7,HHO,2,10146.569231032447
2020,F7,HHO,1,17355.865191367866
2020,F7,MPA,1,352.192169616148
2020,F7,MPA,2,249.056728603774
2020,F7,AOA,1,25743.374326817342
2020,F7,AOA,2,34670.31246711991
2020,F8,SBOA,1,101.73473656156193
2020,F8,SBOA,2,102.19586640428315
2020,F8,WOA,2,127.88017946255513
2020,F8,SCA,1,-304.2974846689149
2020,F8,WOA,1,122.05606966616688
2020,F8,GWO,1,106.65756815651366
2020,F8,SCA,2,-984.0206285213449
2020,F8,GWO,2,102.84351730854223
2020,F8,ISBOA,2,101.23045782081363
2020,F8,ISBOA,1,102.20531673104233
2020,F8,SSA,1,107.98102417100154
